name,goals_per90,assists_per90,goals_assists_pens_per90
Kevin Vázquez,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Felipe,"0.05,0.06,0.00","0.05,0.00,0.00","0.10,0.06,0.00"
Thibaut Courtois,,,
Diego Pampín,,,
Iago Domínguez,,,
Álvaro Vadillo,"['0.19', None, '0.00']","['0.06', None, '0.00']","['0.19', None, '0.00']"
Jorge Sáenz,"['0.12', '0.00', None]","['0.06', '0.00', None]","['0.18', '0.00', None]"
Ivan Šaponjić,"[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]"
Juan Peñaloza,,,
Javi Martínez,,,
Nicholas Opoku,,,
Gorka Zabarte,,,
Jean-Pierre Rhyner,,,
Aimar Oroz,,,
Javier Delgado,,,
Ricard Sánchez,,,
Juan Pérez,,,
Quini,"['0.04', '0.00', None]","['0.00', '0.00', None]","['0.04', '0.00', None]"
João Paulo Santos Costa,,,
Aarón Escandell,,,
Antonio Cortés,"['0.48', None, '4.50']","['0.00', None, '0.00']","['0.48', None, '4.50']"
Luis Javier Suárez,"0.27,0.53,0.00","0.04,0.11,0.00","0.31,0.56,0.00"
José Campaña,"0.11,0.06,0.00","0.24,0.19,0.25","0.35,0.25,0.25"
Yan Brice Eteki,"0.00,0.00,0.00","0.03,0.00,0.00","0.03,0.00,0.00"
Alberto Soro,"0.13,0.15,0.00","0.13,0.23,0.00","0.25,0.38,0.00"
Fede Vico,"0.16,0.20,0.00","0.22,0.10,0.00","0.35,0.20,0.00"
Rubén,,,
Ángel Montoro,"0.15,0.18,0.00","0.15,0.46,1.02","0.31,0.65,1.02"
Víctor Díaz,"0.05,0.03,0.00","0.00,0.14,0.00","0.05,0.17,0.00"
Ramon Azeez,"0.00,0.12,0.00","0.00,0.06,0.00","0.00,0.18,0.00"
Jorge Molina,"0.52,0.26,0.57","0.16,0.13,0.00","0.61,0.30,0.57"
Germán Sánchez,"0.03,0.10,0.46","0.03,0.00,0.00","0.05,0.10,0.46"
Carlos Neva,"0.00,0.00,0.00","0.00,0.04,0.00","0.00,0.04,0.00"
Kenedy,"[None, '0.28', '0.00']","[None, '0.47', '0.57']","[None, '0.75', '0.57']"
Darwin Machís,"0.15,0.26,0.44","0.15,0.26,0.44","0.31,0.49,0.88"
Jesús Vallejo,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Guillem Molina Gutiérrez,,,
Koba Koindredi,,,
Cristian,,,
Jasper Cillessen,,,
Domingos Duarte,"0.10,0.08,0.00","0.00,0.03,0.00","0.10,0.11,0.00"
Carlos Soler,"0.09,0.09,0.00","0.21,0.00,0.00","0.31,0.09,0.00"
Toni Lato,"0.00,0.19,0.00","0.00,0.00,0.00","0.00,0.19,0.00"
Rubén Sobrino,"0.21,0.44,0.00","0.21,0.00,0.00","0.43,0.44,0.00"
Denis Cheryshev,"0.16,0.22,0.00","0.20,0.15,4.50","0.36,0.37,4.50"
Eliaquim Mangala,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Alejandro Blanco,"0.00,0.29,0.00","0.00,0.10,0.00","0.00,0.39,0.00"
Uroš Račić,"0.00,0.11,0.00","0.00,0.04,0.00","0.00,0.15,0.00"
Roberto Soldado,"0.37,0.34,0.47","0.25,0.17,0.00","0.62,0.45,0.47"
Antonio Puertas,"0.37,0.21,0.00","0.07,0.12,0.00","0.44,0.33,0.00"
Luis Milla,"0.05,0.23,0.27","0.13,0.17,0.00","0.18,0.26,0.27"
Maxime Gonalons,"0.00,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Yangel Herrera,"0.00,0.06,0.30","0.00,0.10,0.00","0.00,0.16,0.30"
Rui Silva,,,
Esquerdo,"0.00,0.00","0.00,0.00","0.00,0.00"
Manu Vallejo,"0.32,0.37,1.29","0.10,0.00,0.00","0.42,0.37,1.29"
Yunus Musah,,,
Hugo Guillamón,,,
Lee Kangin,"0.00,0.25,0.00","0.00,0.00,0.80","0.00,0.25,0.80"
Thierry Correia,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Jason,"0.07,0.07,0.00","0.19,0.27,0.00","0.26,0.34,0.00"
Gabriel Paulista,"0.00,0.02,0.50","0.02,0.02,0.00","0.02,0.05,0.50"
Juan Flere,,,
Kévin Gameiro,"0.41,0.35,0.00","0.20,0.13,0.00","0.61,0.48,0.00"
Saturday Erimuya,,,
Mouctar Diakhaby,"0.09,0.00,0.00","0.00,0.00,0.00","0.09,0.00,0.00"
Gonçalo Guedes,"0.29,0.12,0.00","0.15,0.12,0.00","0.44,0.24,0.00"
Maxi Gómez,"0.39,0.32,0.60","0.15,0.10,0.00","0.51,0.42,0.60"
José Luis Gayà,"0.02,0.00,0.00","0.06,0.03,0.20","0.08,0.03,0.20"
Marc Baró Ortiz,,,
Jon Ander Garrido,"0.05,0.05,0.00","0.05,0.05,0.00","0.09,0.10,0.00"
Sergio González,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Geoffrey Kondogbia,"0.05,0.08,0.00","0.05,0.04,0.00","0.09,0.11,0.00"
Daniel Wass,"0.05,0.05,0.20","0.14,0.15,0.20","0.19,0.20,0.40"
Iván Alejo,"0.00,0.08,0.76","0.00,0.15,0.00","0.00,0.23,0.76"
Alberto Perea,"0.00,0.20,0.00","0.17,0.08,0.00","0.17,0.28,0.00"
David Gil,,,
Álvaro Giménez,"0.21,0.16,0.00","0.00,0.00,2.00","0.21,0.16,2.00"
Carlos Akapo,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Fali,"0.00,0.04,0.00","0.00,0.00,0.00","0.00,0.04,0.00"
Yann Bodiger,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Alberto Cifuentes,,,
Jeremías Ledesma,,,
Filip Malbašić,"0.25,0.00,0.00","0.12,0.38,0.63","0.31,0.38,0.63"
Anthony Lozano,"0.00,0.40,0.00","0.00,0.04,0.00","0.00,0.44,0.00"
Augusto Fernández,"0.11,0.00,0.00","0.00,0.00,0.00","0.11,0.00,0.00"
Marcos Mauro López Gutiérrez,"0.08,0.13,0.00","0.00,0.00,0.00","0.08,0.13,0.00"
Jorge Pombo,"0.00,0.00,0.29","0.22,0.23,0.00","0.22,0.23,0.29"
Tomáš Vaclík,,,
Alejandro Pozo Pozo,"['0.06', '0.00', None]","['0.17', '0.00', None]","['0.23', '0.00', None]"
Jens Jønsson,"0.19,0.03,0.00","0.00,0.03,0.00","0.19,0.07,0.00"
Javier Díaz,,,
José Mari,"0.03,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Franco Vázquez,"0.14,0.31,0.00","0.14,0.06,0.00","0.28,0.37,0.00"
Carlos Fernández,"0.38,0.44,0.00","0.09,0.10,0.00","0.42,0.50,0.00"
Bryan,"0.16,0.39,0.00","0.00,0.39,0.00","0.16,0.78,0.00"
Óscar Rodríguez Arnaiz,"0.14,0.40,0.00","0.11,0.09,0.00","0.25,0.40,0.00"
Sergi Gómez,"0.00,0.00,0.00","0.02,0.00,0.00","0.02,0.00,0.00"
Óliver Torres,"0.11,0.21,0.00","0.17,0.21,0.00","0.28,0.43,0.00"
Sergio Escudero,"0.00,0.06,0.00","0.04,0.06,0.00","0.04,0.11,0.00"
Nemanja Gudelj,"0.03,0.00,0.00","0.03,0.00,0.00","0.07,0.00,0.00"
Youssef En-Nesyri,"0.26,0.48,0.51","0.13,0.00,0.00","0.39,0.48,0.51"
Munir El Haddadi,"0.47,0.52,0.70","0.07,0.15,0.70","0.54,0.67,1.40"
Suso,"0.06,0.14,0.00","0.13,0.07,0.00","0.19,0.22,0.00"
Salvi,"0.09,0.00,0.26","0.14,0.23,0.00","0.23,0.23,0.26"
Jules Koundé,"0.02,0.03,0.00","0.02,0.03,0.00","0.04,0.06,0.00"
Fernando,"0.08,0.08,0.00","0.16,0.08,0.00","0.24,0.16,0.00"
Marcos Acuña,"0.03,0.07,0.00","0.26,0.11,0.00","0.29,0.18,0.00"
Luuk de Jong,"0.75,0.31,0.76","0.15,0.10,0.00","0.90,0.41,0.76"
Joan Jordán,"0.12,0.06,0.00","0.12,0.06,0.31","0.24,0.12,0.31"
Lucas Ocampos,"0.14,0.42,0.26","0.22,0.13,0.00","0.36,0.42,0.00"
Ivan Rakitić,"0.11,0.04,0.32","0.21,0.21,0.00","0.32,0.26,0.32"
Jesús Navas,"0.03,0.00,0.00","0.18,0.20,0.46","0.21,0.20,0.46"
Diego Carlos,"0.05,0.05,0.00","0.00,0.00,0.00","0.05,0.05,0.00"
Álvaro Negredo,"['0.51', None, '0.39']","['0.26', None, '0.39']","['0.77', None, '0.78']"
Alfonso Espino,"0.00,0.03,0.00","0.21,0.06,0.00","0.21,0.09,0.00"
Rubén Yáñez,,,
Chema,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Isaac Carcelen,"0.17,0.05,0.00","0.12,0.03,0.00","0.22,0.08,0.00"
Ante Palaversa,,,
Álex Fernández,"0.20,0.34,0.00","0.20,0.16,0.00","0.26,0.29,0.00"
Jaume Doménech,,,
Cala,"0.03,0.08,0.00","0.00,0.04,0.00","0.03,0.11,0.00"
Francisco Portillo,"0.08,0.00,0.00","0.19,0.23,0.00","0.27,0.23,0.00"
Yassine Bounou,,,
Dimitri Foulquier,"0.00,0.06,0.00","0.00,0.00,0.00","0.00,0.06,0.00"
Erick Cabaco,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Enes Ünal,"0.25,0.23,0.00","0.12,0.08,0.00","0.25,0.23,0.00"
David Timor,"0.00,0.21,0.00","0.00,0.07,0.00","0.00,0.28,0.00"
Jaime Mata,"0.53,0.39,0.47","0.20,0.11,0.00","0.56,0.39,0.47"
Cucho,"0.17,0.30,0.00","0.13,0.06,0.69","0.21,0.36,0.69"
Mathías Olivera,"0.00,0.00,0.00","0.09,0.12,0.00","0.09,0.12,0.00"
Ángel Rodríguez,"0.56,0.63,0.93","0.17,0.15,0.00","0.64,0.73,0.93"
Nemanja Maksimović,"0.03,0.05,0.00","0.03,0.00,0.00","0.05,0.05,0.00"
Arnau Tenas,,,
Santiago Ramos,,,
Mauro Arambarri,"0.03,0.03,0.00","0.06,0.03,0.00","0.09,0.05,0.00"
Damián Suárez,"0.00,0.03,0.00","0.07,0.12,0.00","0.07,0.15,0.00"
Rafinha,"['0.17', '0.00', None]","['0.08', '0.00', None]","['0.25', '0.00', None]"
Riqui Puig,"['0.00', '0.00', None]","['0.47', '0.31', None]","['0.47', '0.31', None]"
Iñaki,,,
Junior Firpo,"['0.12', '0.06', None]","['0.19', '0.06', None]","['0.31', '0.13', None]"
Konrad De La Fuente,,,
Martin Braithwaite,"['0.26', '0.22', None]","['0.04', '0.00', None]","['0.30', '0.22', None]"
Carles Aleñá,"['0.11', '0.00', None]","['0.11', '0.00', None]","['0.21', '0.00', None]"
Sergiño Dest,"0.00,0.00,0.00","0.18,0.00,0.00","0.18,0.00,0.00"
Ousmane Dembélé,"0.51,0.18,0.00","0.29,0.00,0.00","0.80,0.18,0.00"
Francisco Trincão,"0.00,0.43,0.00","0.00,0.38,0.00","0.00,0.81,0.00"
Pedri,,,
Miralem Pjanić,"0.11,0.08,0.00","0.22,0.16,0.00","0.28,0.24,0.00"
Ronald Araújo,"0.00,0.00,0.00","0.05,0.00,0.00","0.05,0.00,0.00"
Clément Lenglet,"0.05,0.11,0.00","0.00,0.03,0.00","0.05,0.13,0.00"
David Soria,,,
Antoine Griezmann,"0.47,0.39,0.00","0.24,0.10,0.00","0.64,0.49,0.00"
Ansu Fati,"0.52,1.35","0.07,0.00","0.59,1.35"
Philippe Coutinho,"0.30,0.46,0.42","0.13,0.38,0.84","0.38,0.80,1.26"
Allan Nyom,"0.05,0.06,0.00","0.05,0.03,0.25","0.10,0.09,0.25"
Marc Cucurella,"0.07,0.02,0.25","0.07,0.12,0.00","0.14,0.15,0.25"
Lionel Messi,"1.14,0.73,0.33","0.42,0.59,0.00","1.45,1.20,0.00"
Frenkie de Jong,"0.08,0.06,0.00","0.08,0.08,0.00","0.15,0.14,0.00"
Djené,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Asier Córdoba,,,
