name,goals_per90,assists_per90,goals_assists_pens_per90
Yassine Bounou,,,
Oriol Rey,,,
Kevin Omoruyi,,,
Sergio López Galache,,,
Samuel Pérez,,,
Álvaro Fernández,,,
Juan Peñaloza,,,
Dani Rebollo,,,
Yoel,,,
José Salinas,,,
Kenan Kodro,"0.56,0.25,0.00","0.00,0.00,0.00","0.56,0.25,0.00"
Ignacio Pastor,,,
Claudio Medina,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Mourad El Ghezouani,"['0.00', None]","['0.00', None]","['0.00', None]"
César,,,
Luis Castillo,,,
Aitor Paredes Casamichana,,,
Víctor Ruiz,"['0.00', '0.00', None]","['0.00', '0.04', None]","['0.00', '0.04', None]"
Oier Zarraga,,,
Jokin Ezkieta,,,
Unai Vencedor Paris,,,
Jonatan Carmona Alamo,,,
Unai Dufur,,,
Diego Bri,,,
Iñigo Lekue,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Unai Arietaleanizbeaskoa,,,
Eñaut Mendía,,,
José Antonio Martínez Gil,"['0.03', '0.00', None]","['0.03', '0.07', None]","['0.06', '0.07', None]"
Miguel Atienza,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']"
Quique,"0.50,0.00,0.00","0.06,0.16,0.00","0.44,0.16,0.00"
Anaitz Arbilla,"0.04,0.04,0.00","0.13,0.00,0.90","0.17,0.04,0.90"
Sergi Enrich,"0.24,0.05,0.00","0.14,0.19,0.00","0.38,0.24,0.00"
Damian Kądzior,"0.28,0.39,0.00","0.00,0.04,0.00","0.28,0.42,0.00"
Álvaro Tejero,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Rafa Soares,"0.00,0.00,0.00","0.11,0.00,0.00","0.11,0.00,0.00"
Esteban Burgos,"0.19,0.08,0.67","0.00,0.00,0.00","0.03,0.08,0.00"
Antonio Sivera,,,
Yoshinori Mutō,"0.15,0.23,0.00","0.00,0.00,0.00","0.15,0.23,0.00"
Aritz Castro,,,
Joaquín Muñoz,,,
Adrián Marín,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Dani Escriche,"0.32,0.00,0.00","0.11,0.25,0.00","0.43,0.25,0.00"
Kelechi Nwakali,,,
Luisinho,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Burgui,"['0.10', '0.00', None]","['0.10', '0.00', None]","['0.10', '0.00', None]"
